bonica.rid,bonica.cid,name,lname,ffname,gender,icpsr,id_fec
cand153913,36032816394,"ingrim, rian",ingrim,rian,M,H0WA10083,H0WA10083
cand153914,36061291063,"johnson, dean",johnson,dean,M,H0WA10091,H0WA10091
cand153915,36118598056,"maynard, jackson",maynard,jackson,M,H0WA10109,H0WA10109
cand153916,500004e10,"bacon, mary",bacon,mary,F,H0WA10117,H0WA10117
cand153917,NA,"lemay, eric n",lemay,eric n,M,H0WA10125,H0WA10125
cand153918,500004e10,"cunningham, angela",cunningham,angela,F,H0WI01112,H0WI01112
cand153919,36035695059,"polack, roger",polack,roger,M,H0WI01120,H0WI01120
cand153920,NA,"heller, jeffery david",heller,jeffery david,M,H0WI02078,H0WI02078
cand153923,36023811787,"garske, john",garske,john,M,H0WI03142,H0WI03142
cand153924,500004e10,"ebben, jessi",ebben,jessi,F,H0WI03159,H0WI03159
cand153926,NA,"van orden, derrick f",vanorden,derrick f,M,22370,H0WI03175
cand153927,36031927358,"detemple, clifford james",detemple,clifford james,M,H0WI05121,H0WI05121
cand153928,5e15,"king, jessica jeane",king,jessica jeane,F,H0WI06186,H0WI06186
cand153929,500004e10,"washburn, amy irene",washburn,amy irene,F,H0WI06194,H0WI06194
cand153931,36013910662,"beardsley, michael grant",beardsley,michael grant,M,H0WI06210,H0WI06210
cand153933,NA,"church, jason",church,jason,M,H0WI07127,H0WI07127
cand153934,NA,"zunker, tricia",zunker,tricia,F,H0WI07135,H0WI07135
cand153935,36019731614,"hahn, matthew abner",hahn,matthew abner,M,H0WV02187,H0WV02187
cand153940,NA,"beach, carl",beach,carl,M,H0WY01028,H0WY01028
cand153941,NA,"grey bull, lynnette",grey bull,lynnette,F,H0WY01036,H0WY01036
cand153945,NA,"rhodes, aarika samone",rhodes,aarika samone,F,H2CA30275,H2CA30275
cand1540,NA,"demint, james w",demint,james w,M,29936,H8SC04060
cand1541,33407128566,"inslee, jay robert",inslee,jay robert,M,29937,H2WA04090
cand154161,4101312492,"kraut, charles william",kraut,charles william,M,P00014159,P00014159
cand154162,4101323463,"hornberger, jacob george",hornberger,jacob george,M,P00014175,P00014175
cand154165,2767933814,"blankenship, don",blankenship,don,M,P00014209,P00014209
cand154175,3770409623,"matern, matthew",matern,matthew,M,P00014340,P00014340
cand154180,5372440216,"patrick, deval",patrick,deval,M,P00014407,P00014407
cand154193,33220891403,"bloomberg, michael r",bloomberg,michael r,M,P00014530,P00014530
cand154195,NA,"sherrod, jacob michael",sherrod,jacob michael,M,P00014597,P00014597
cand1542,5261952989,"baird, brian",baird,brian,M,29938,H6WA03135
cand154250,NA,"tanniru, joseph kishore",tanniru,joseph kishore,M,P00015230,P00015230
cand154272,500004e10,"simmons, jade",simmons,jade,F,P00015537,P00015537
cand1543,2323647093,"ryan, paul d",ryan,paul d,M,29939,H8WI01024
cand154308,NA,"gray, jim",gray,jim,M,P00015933,P00015933
cand154319,NA,"amash, justin",amash,justin,M,P00016063,P00016063
cand154366,36036496875,"pierce, brock",pierce,brock,M,P00016550,P00016550
cand154385,36037490325,"west, kanye",west,kanye,NA,P00016741,P00016741
cand1544,5e15,"baldwin, tammy",baldwin,tammy,F,29940,H8WI00018
cand154445,NA,"cumings, christopher charles",cumings,christopher charles,M,S0AK00212,S0AK00212
cand154448,35955058973,"whitfield, daniel allen",whitfield,daniel allen,M,S0AR00218,S0AR00218
cand154456,NA,"goldfischer, david",goldfischer,david,M,S0CO00625,S0CO00625
cand154466,5e15,"scarane, jessica",scarane,jessica,F,S0DE00175,S0DE00175
cand154467,500004e10,"witzke, lauren elena",witzke,lauren elena,F,S0DE00183,S0DE00183
cand154468,106788200,"demartino, james",demartino,james,M,S0DE00191,S0DE00191
cand154471,NA,"lieberman, matthew",lieberman,matthew,M,S0GA00468,S0GA00468
cand154472,500004e10,"johnson shealey, tamara",johnson shealey,tamara,F,S0GA00484,S0GA00484
cand154473,36061150060,"johnson, arthur wayne",johnson,arthur wayne,M,S0GA00492,S0GA00492
cand154474,NA,"dillard smith, maya",dillard smith,maya,F,S0GA00500,S0GA00500
cand154477,4020275913,"winfield, richard dien",winfield,richard dien,M,S0GA00542,S0GA00542
cand154478,37662924035,"warnock, raphael",warnock,raphael,M,42105,S0GA00559
cand154479,NA,"collins, douglas allen",collins,douglas allen,M,S0GA00567,S0GA00567
cand154481,3111090864,"tarver, edward j",tarver,edward j,M,S0GA00583,S0GA00583
cand154482,500004e10,"jackson, deborah a",jackson,deborah a,F,S0GA00591,S0GA00591
cand154483,NA,"james, jamesia",james,jamesia,F,S0GA00609,S0GA00609
cand154485,500003e10,"stovall, valencia",stovall,valencia,F,S0GA00625,S0GA00625
cand154487,500004e10,"taylor, kandiss sharpe",taylor,kandiss sharpe,F,S0GA00641,S0GA00641
cand154488,36173553839,"grayson, derrick e",grayson,derrick e,M,S0GA00658,S0GA00658
cand154492,111762359,"vandermaas, jim",vandermaas,jim,M,S0ID00164,S0ID00164
cand154494,NA,"jordan, paulette",jordan,paulette,F,S0ID00180,S0ID00180
cand154497,36011885257,"malouf, daniel",malouf,daniel,M,S0IL00618,S0IL00618
cand1545,NA,"green, mark",green,mark,M,29941,H8WI00026
cand154500,500001e10,"bollier, barbara",bollier,barbara,F,S0KS00323,S0KS00323
cand154501,36012110620,"matlock, brian",matlock,brian,M,S0KS00331,S0KS00331
cand154502,36154166734,"hamilton, bob",hamilton,bob,M,S0KS00349,S0KS00349
cand154504,NA,"miller, john lee",miller,john lee,M,S0KS00364,S0KS00364
cand154505,NA,"barron, stephen bradley",barron,stephen bradley,M,S0KY00396,S0KY00396
cand154508,NA,"booker, charles",booker,charles,M,S0KY00420,S0KY00420
cand154514,5e15,"hilliard, maggie jo",hilliard,maggie jo,F,S0KY00487,S0KY00487
cand154519,36036501624,"pierce, antoine",pierce,antoine,M,S0LA00311,S0LA00311
cand154521,36036581088,"wenstrup, peter",wenstrup,peter,M,S0LA00345,S0LA00345
cand154525,NA,"perkins, adrian",perkins,adrian,M,S0LA00386,S0LA00386
cand154529,NA,"o connor, kevin j",oconnor,kevin j,M,S0MA00232,S0MA00232
cand154530,5e15,"savage, lisa jill",savage,lisa jill,F,S0ME00137,S0ME00137
cand154531,36047209886,"lajeunesse, ross",lajeunesse,ross,M,S0ME00145,S0ME00145
cand154539,NA,"knoles, michael",knoles,michael,M,S0MT00124,S0MT00124
cand154540,500004e10,"neumann, cora",neumann,cora,F,S0MT00132,S0MT00132
cand154543,NA,"bullock, steve",bullock,steve,M,S0MT00173,S0MT00173
cand154544,NA,"giese, susan good",giese,susan good,F,S0MT00181,S0MT00181
cand154551,500004e10,"shelton, alisha",shelton,alisha,F,S0NE00098,S0NE00098
cand154552,33104649934,"macek, dennis frank",macek,dennis frank,M,S0NE00106,S0NE00106
cand154555,NA,"stock, andrew eric",stock,andrew eric,M,S0NE00130,S0NE00130
cand154560,35722271630,"mehta, rikin",mehta,rikin,M,S0NJ00217,S0NJ00217
cand154562,36019695356,"hamm, lawrence",hamm,lawrence,M,S0NJ00233,S0NJ00233
cand154564,500004e10,"fernandez, veronica",fernandez,veronica,F,S0NJ00258,S0NJ00258
cand154565,36207471389,"burke, daniel c",burke,daniel c,M,S0NJ00266,S0NJ00266
cand154568,500004e10,"martinez, elisa",martinez,elisa,F,S0NM00090,S0NM00090
cand154569,NA,"perkins, andrew john",perkins,andrew john,M,S0NM00108,S0NM00108
cand154570,36184268237,"sanchez, louie j",sanchez,louie j,M,S0NM00116,S0NM00116
cand154571,NA,"ronchetti, mark v",ronchetti,mark v,M,S0NM00124,S0NM00124
cand154572,4178396914,"walsh, bob",walsh,bob,M,S0NM00132,S0NM00132
cand154574,NA,"broyles, abby",broyles,abby,F,S0OK00370,S0OK00370
cand154580,3816415377,"mavis, neil j",mavis,neil j,M,S0OK00438,S0OK00438
cand154583,36022547666,"romero, paul joseph jr",romero,paul joseph,M,S0OR00337,S0OR00337
cand154587,36037225402,"waters, allen",waters,allen,M,S0RI00067,S0RI00067
cand154588,109807108,"buckner, dwayne duke",buckner,dwayne duke,M,S0SC00321,S0SC00321
cand154593,105614969,"ahlers, dan",ahlers,dan,M,S0SD00070,S0SD00070
cand154594,36013646477,"borglum, scyller",borglum,scyller,U,S0SD00088,S0SD00088
cand154595,5e15,"hart, clara m",hart,clara m,F,S0SD00096,S0SD00096
cand154597,NA,"onyejiaka, diana chioma",onyejiaka,diana chioma,F,S0TN00193,S0TN00193
cand154598,36207437335,"bush, byron",bush,byron,M,S0TN00201,S0TN00201
cand154599,29215905143,"presley, johnny w",presley,johnny w,M,S0TN00219,S0TN00219
cand1546,3818419832,"baca, joe",baca,joe,M,29942,H6CA42099
cand154601,500004e10,"brooks, natisha",brooks,natisha,F,S0TN00235,S0TN00235
cand154602,36159689235,"cope, roy dale",cope,roy dale,M,S0TN00243,S0TN00243
cand154603,37627598831,"morrell, kent",morrell,kent,M,S0TN00250,S0TN00250
cand154604,500004e10,"kimbrough, robin",kimbrough,robin,F,S0TN00268,S0TN00268
cand154605,NA,"henry, jon",henry,jon,M,S0TN00276,S0TN00276
cand154606,3263151291,"pickrell, mark",pickrell,mark,M,S0TN00284,S0TN00284
cand154609,28359205831,"faparusi, yomi dr sr",faparusi,yomi dr,M,S0TN00318,S0TN00318
cand154612,36104513619,"love, john benard iii",love,john benard,M,S0TX00308,S0TX00308
cand154614,36164201202,"bell, robert christopher",bell,robert christopher,M,S0TX00324,S0TX00324
cand154615,36018269394,"cooper, michael e pastor",cooper,michael e pastor,M,S0TX00332,S0TX00332
cand154616,32169711200,"mckennon, kerry douglas",mckennon,kerry douglas,M,S0TX00340,S0TX00340
cand154620,5e15,"garcia, anne",garcia,anne,F,S0TX00381,S0TX00381
cand154629,NA,"knapp, mary",knapp,mary,F,S0VA00153,S0VA00153
cand154631,NA,"faulkner, omari",faulkner,omari,M,S0VA00179,S0VA00179
cand154632,3306165718,"dunn, blaine p",dunn,blaine p,M,S0VA00187,S0VA00187
cand154634,36020922972,"whitt, larry allen ii",whitt,larry allen,M,S0WV00231,S0WV00231
cand154635,NA,"ojeda, richard",ojeda,richard,M,S0WV00249,S0WV00249
cand154637,5e15,"ben david, merav",ben david,merav,F,S0WY00152,S0WY00152
cand154638,36210078280,"short, robert g",short,robert g,M,S0WY00160,S0WY00160
cand154641,36036987565,"wendt, nathan",wendt,nathan,M,S0WY00194,S0WY00194
cand154642,NA,"debrine, james kirk",debrine,james kirk,M,S0WY00202,S0WY00202
cand154649,500004e10,"khaaliq, haneefah",khaaliq,haneefah,F,S2IN00133,S2IN00133
cand154652,37666915590,"shepard, timothy jacob",shepard,timothy jacob,M,S2MO00460,S2MO00460
cand154655,NA,"sare, diane wilson",sare,diane wilson,F,S2NY00325,S2NY00325
cand154656,3784645459,"pukita, mark",pukita,mark,M,S2OH00287,S2OH00287
cand154657,NA,"dean, brandaun lefred mayor",dean,brandaun lefred mayor,U,S2PA00299,S2PA00299
cand154658,34849689167,"mcguigan, john david",mcguigan,john david,M,S2PA00307,S2PA00307
cand154660,35893382975,"sleister, nicolaus",sleister,nicolaus,M,S2WA00338,S2WA00338
cand1547,NA,"gonzalez, charles a",gonzalez,charles a,M,29943,H8TX20077
cand1551,NA,"inglis, robert d",inglis,robert d,M,39300,S8SC00076
cand1552,3286164072,"clyburn, james e",clyburn,james e,M,39301,H2SC02042
cand1553,NA,"bonilla, henry",bonilla,henry,M,39302,H2TX23058
cand1555,4927304697,"green, raymond e gene",green,raymond e gene,M,39304,H2TX29030
cand1556,NA,"johnson, eddie bernice",johnson,eddie bernice,F,39305,H2TX00015
cand155606,500004e10,"crichton, oreta tufaga mapu",crichton,oreta tufaga mapu,F,H0AS01016,H0AS01016
cand155618,5e15,"gomez, blanca",gomez,blanca,F,H0CA08226,H0CA08226
cand155626,500004e10,"keltie, rebecca",keltie,rebecca,F,H0CO05152,H0CO05152
cand155644,36011764629,"millado, joe dallas",millado,joe dallas,M,H0FL03282,H0FL03282
cand155654,NA,"oliver, chase russell",oliver,chase russell,M,H0GA05319,H0GA05319
cand155655,2353684652,"franklin, robert",franklin,robert,M,H0GA05335,H0GA05335
cand155657,35810609502,"curtis, ron",curtis,ron,M,H0HI01298,H0HI01298
cand155670,NA,"redpath, bill",redpath,bill,M,H0IL06086,H0IL06086
cand155674,NA,"petrilli, george",petrilli,george,M,H0IL18073,H0IL18073
cand155676,4626031914,"leyva, mark j",leyva,mark j,M,H0IN01333,H8IN01096
cand155683,NA,"chambers, gary jr",chambers,gary,M,H0LA02275,H0LA02275
cand155685,36091907377,"snowden, phillip",snowden,phillip,M,H0LA05153,H0LA05153
cand155688,36037849167,"williams, dartanyon a",williams,dartanyon a,M,H0LA06052,H0LA06052
cand155701,NA,"solis, jerry",solis,jerry,M,H0MI06202,H0MI06202
cand155710,NA,"forslund, tiffini flynn",forslund,tiffini flynn,F,H0MN04213,H0MN04213
cand155731,NA,"ross, gena l",ross,gena l,F,H0MO06222,H0MO06222
cand155733,500004e10,"richards, audrey",richards,audrey,F,H0MO07279,H0MO07279
cand155750,5e15,"vellucci, louis a",vellucci,louis a,M,H0NJ05240,H0NJ05240
cand155763,3735282653,"parietti, mike i",parietti,mike i,M,H0NY17349,H0NY17349
cand155778,NA,"elizabeth, terwilliger",elizabeth,terwilliger,U,H0PA12207,H0PA12207
cand155789,500004e10,"williams, nichole",williams,nichole,F,H0TN01225,H0TN01225
cand1558,4101315273,"scott, robert c",scott,robert c,M,39307,H6VA01117
cand155800,36067543270,"strong, corey o",strong,corey o,M,H0TN09129,H0TN09129
cand155833,NA,"kennedy, carrie r",kennedy,carrie r,F,H0WA02254,H2WA02227
cand155835,NA,"ray, davy",ray,davy,M,H0WA03260,H2WA03175
cand155852,NA,"nichols, beatrice jackson",nichols,beatrice jackson,F,H2AL07173,H2AL07173
cand155853,NA,"zink, jeffrey nelson",zink,jeffrey nelson,M,H2AZ07187,H2AZ07187
cand155856,NA,"tanaka, greg",tanaka,greg,M,H2CA18130,H2CA18130
cand155857,500004e10,"parra, nicole",parra,nicole,F,H2CA21175,H2CA21175
cand155860,500003e10,"volotzky, lucie lapointe",volotzky,lucie lapointe,F,H2CA30283,H2CA30283
cand155863,NA,"houlahan, stephen william",houlahan,stephen william,M,H2CA50174,H2CA50174
cand155868,37354046925,"legnani, andrew joseph",legnani,andrew joseph,M,H2CT01197,H2CT01197
cand155869,NA,"hamilton, wendy",hamilton,wendy,F,H2DC01011,H2DC01011
cand155870,NA,"hartpence, kenneth james",hartpence,kenneth james,M,H2FL09152,H2FL09152
cand155874,37660747130,"eldon, anthony w",eldon,anthony w,M,H2FL14236,H2FL14236
cand155876,5e15,"sharief, barbara",sharief,barbara,F,H2FL20134,H2FL20134
cand155879,37699459819,"corbin, michael",corbin,michael,M,H2GA07121,H2GA07121
cand155881,NA,"bowman, raleigh",bowman,raleigh,M,H2IL05191,H2IL05191
cand155882,500004e10,"williams, marsha viriginia",williams,marsha viriginia,F,H2IL16065,H2IL16065
cand155886,500004e10,"peterson, karen carter",peterson,karen carter,F,H2LA02131,H2LA02131
cand155887,NA,"lirette, gregory",lirette,gregory,M,H2LA02156,H2LA02156
cand155888,NA,"ruiz, michael",ruiz,michael,M,H2MA08074,H2MA08074
cand155889,37665732609,"littles, mark",littles,mark,M,H2MA09221,H2MA09221
cand155890,NA,"byrd, colin",byrd,colin,M,H2MD05528,H2MD05528
cand155891,500004e10,"wilkes, mckayla nicollette",wilkes,mckayla nicollette,F,H2MD05536,H2MD05536
cand155893,35718174335,"jaye, brian steven",jaye,brian steven,M,H2MI08154,H2MI08154
cand1559,29406573655,"goodlatte, robert w",goodlatte,robert w,M,39308,H2VA06115
cand155900,103502682,"dunn, aubrey",dunn,aubrey,M,H2NM01151,H2NM01151
cand155901,500001e10,"mcginn, randi",mcginn,randi,F,H2NM01169,H2NM01169
cand155902,37666556036,"huq, muzibul dr",huq,muzibul dr,U,H2NY02115,H2NY02115
cand155906,NA,"brown, shontel m",brown,shontel m,F,22161,H2OH11169
cand155907,3191140753,"johnson, jeffrey david",johnson,jeffrey david,M,H2OH11177,H2OH11177
cand155911,36575422231,"norris, ryan nigel norfield jr",norris,ryan nigel norfield,M,H2SC07157,H2SC07157
cand155916,NA,"squires, james scott",squires,james scott,M,H2TX22142,H2TX22142
cand155917,500004e10,"mason, jessica",mason,jessica,F,H2TX30111,H2TX30111
cand1560,4086307533,"byrne, leslie l",byrne,leslie l,F,39309,H8VA11039
cand1561,500001e10,"cantwell, maria",cantwell,maria,F,39310,S8WA00194
cand1562,NA,"dunn, jennifer",dunn,jennifer,F,39312,H2WA08075
cand156234,3818429288,"windom, stephen r",windom,stephen r,M,AL1098501,AL1098501
cand1564,3818419408,"barca, peter william",barca,peter william,M,39314,H4WI01056
cand156452,NA,"harrington, ricky dale jr",harrington,ricky dale,M,S0AR00226,S0AR00226
cand156486,NA,"mazzuchelli, edward james",mazzuchelli,edward james,M,S0MA00240,S0MA00240
cand156499,500004e10,"bradshaw, marquita",bradshaw,marquita,F,S0TN00342,S0TN00342
cand1565,4068297898,"barrett, thomas mark",barrett,thomas mark,M,39315,H2WI05150
cand156509,NA,"nelson, tom",nelson,tom,M,S0WI00247,S0WI00247
cand156516,36047854882,"lucero, robert george jr",lucero,robert george,M,S2CA00898,S2CA00898
cand156521,34243369251,"zhou, lijun lily",zhou,lijun lily,U,S2CA00948,S2CA00948
cand156522,37681219139,"ellison, allen",ellison,allen,M,S2FL00458,S2FL00458
cand156523,35671655869,"weil, joshua joseph",weil,joshua joseph,M,S2FL00466,S2FL00466
cand156530,NA,"walker, bradley mark",walker,bradley mark,M,S2NC00307,S2NC00307
cand156535,NA,"searle, austin",searle,austin,M,S2UT00294,S2UT00294
cand156549,NA,"beasley, sharese n",beasley,sharese n,F,S8NC00320,S8NC00320
cand1566,NA,"mchugh, john michael",mchugh,john michael,M,39316,H2NY24036
cand1567,3818436858,"scarborough, joe",scarborough,joe,M,39508,H4FL01056
cand1568,29055804973,"dayton, mark",dayton,mark,M,40101,S2MN00027
cand1569,NA,"carnahan, jean a",carnahan,jean a,F,40102,S0MO00159
cand156940,4626036464,"carl, jerry lee, jr",carl,jerry lee,M,22108,H0AL01055
cand156944,5e15,"putzova, eva",putzova,eva,F,H0AZ01358,H0AZ01358
cand156946,500004e10,"wadsack, justine louise",wadsack,justine louise,F,H0AZ02174,H0AZ02174
cand156947,NA,"morgan, joseph david",morgan,joseph david,M,H0AZ02182,H0AZ02182
cand156954,500003e10,"bacelar, agatha",bacelar,agatha,F,H0CA12111,H0CA12111
cand156956,26592108092,"kumar, rishi",kumar,rishi,M,H0CA18068,H0CA18068
cand156964,NA,"o mara, william edward dr iv",omara,william edward dr,M,H0CA42217,H0CA42217
cand156965,3259154358,"sedgwick, donald m",sedgwick,donald m,M,H0CA45087,H0CA45087
cand156966,36119897973,"bradley, james p",bradley,james p,M,H0CA48156,H0CA48156
cand156968,500004e10,"williams, grace i",williams,grace i,F,H0CA49113,H0CA49113
cand156970,NA,"balkin, alex",balkin,alex,M,H0CA50103,H0CA50103
cand156971,35726481641,"wilske, larry a",wilske,larry a,M,H0CA50111,H0CA50111
cand156972,NA,"duran, crisanta desirae",duran,crisanta desirae,F,H0CO01136,H0CO01136
cand156973,NA,"winters, charlie madison",winters,charlie madison,M,H0CO01144,H0CO01144
cand156974,112493122,"mccorkle, isaac ian",mccorkle,isaac ian,M,H0CO04197,H0CO04197
cand156976,111607472,"rodriguez, ruben",rodriguez,ruben,M,H0CT05192,H0CT05192
cand156983,36017981838,"chester, albert ii",chester,albert,M,H0FL05147,H0FL05147
cand156984,NA,"salado, armani",salado,armani,M,H0FL07093,H0FL07093
cand156987,500004e10,"jones, lateresa ann",jones,lateresa ann,F,H0FL20112,H0FL20112
cand156994,3160119036,"beach, brandon",beach,brandon,M,H0GA06168,H0GA06168
cand156995,NA,"cole, marqus a",cole,marqus a,M,H0GA07190,H0GA07190
cand156996,NA,"islam, nabilah aishah",islam,nabilah aishah,F,H0GA07208,H0GA07208
cand156997,36094002296,"eaves, john h",eaves,john h,M,H0GA07216,H0GA07216
cand156998,NA,"stephens, key antwon",stephens,key antwon,U,H0GA09154,H0GA09154
cand156999,500004e10,"kinsey, rachel",kinsey,rachel,F,H0GA11028,H0GA11028
cand157,4172383461,"rangel, charles b",rangel,charles b,M,13035,H6NY19029
cand1570,4772183196,"nelson, e benjamin",nelson,e benjamin,M,40103,S6NE00095
cand157001,3780492501,"kahele, kaiali i",kahele,kaiali i,M,22128,H0HI02155
cand157003,4202412410,"richards, bret a",richards,bret a,M,H0IA04129,H0IA04129
cand157004,30214961969,"taylor, jeremy",taylor,jeremy,M,H0IA04137,H0IA04137
cand157005,3822463550,"feenstra, randall",feenstra,randall,M,22113,H0IA04145
cand157006,35881287437,"emmons, robert alex jr",emmons,robert alex,M,H0IL01178,H0IL01178
cand157012,109195160,"dar, mohammad",dar,mohammad,M,H0MA08037,H0MA08037
cand157014,500004e10,"wilkes, mckayla",wilkes,mckayla,F,H0MD05183,H0MD05183
cand157016,500004e10,"rafi, emily e",rafi,emily e,F,H0MI03233,H0MI03233
cand157018,107983122,"branscum, samuel ray",branscum,samuel ray,M,H0MI07127,H0MI07127
cand157019,5e15,"noland, kelly lynn",noland,kelly lynn,F,H0MI10238,H0MI10238
cand157022,34671226354,"sandbeck, david andrew",sandbeck,david andrew,M,H0MN04171,H0MN04171
cand157027,35837480342,"carter, deandre antwan",carter,deandre antwan,M,H0NC01093,H0NC01093
cand157028,NA,"farrow, daryl",farrow,daryl,M,H0NC03123,H0NC03123
cand157029,NA,"nix, michele",nix,michele,F,H0NC03131,H0NC03131
cand157030,500004e10,"smith, sandy",smith,sandy,F,H0NC03149,S0NC00293
cand157031,NA,"speciale, michael david",speciale,michael david,M,H0NC03156,H0NC03156
cand157032,NA,"moore, jeff",moore,jeff,M,H0NC03164,H0NC03164
cand157033,2830941995,"murphy, gregory francis",murphy,gregory francis,M,21987,H0NC03172
cand157035,35867149281,"bew, richard",bew,richard,M,H0NC03198,H0NC03198
cand157036,500004e10,"cairns, celeste",cairns,celeste,F,H0NC03206,H0NC03206
cand157037,35878270293,"johnson, ike",johnson,ike,M,H0NC03214,H0NC03214
cand157038,500004e10,"perry, joan",perry,joan,F,H0NC03222,H0NC03222
cand157039,4049290362,"shepard, phillip ray",shepard,phillip ray,M,H0NC03230,H0NC03230
cand157040,35880284203,"thomas, allen",thomas,allen,M,H0NC03248,H0NC03248
cand157042,NA,"de luca, francis x",deluca,francis x,M,H0NC03263,H0NC03263
cand157043,35893395066,"sobie, curtis",sobie,curtis,M,H0NC04162,H0NC04162
cand157047,27936746741,"ridenhour, matthew",ridenhour,matthew,M,H0NC09161,H0NC09161
cand157050,5e15,"ashford, ann",ashford,ann,F,H0NE02169,H0NE02169
cand157052,111712356,"spezakis, zinovia",spezakis,zinovia,U,H0NJ09176,H0NJ09176
cand157054,35442918053,"mathys, chris",mathys,chris,M,H0NM02211,H0NM02211
cand157056,111530506,"marchant, jim",marchant,jim,M,H0NV04015,H0NV04015
cand157060,35904668329,"james, isiah",james,isiah,M,H0NY09080,H0NY09080
cand157061,5e15,"malliotakis, nicole",malliotakis,nicole,F,22133,H0NY11078
cand157062,500004e10,"ashcraft, lauren",ashcraft,lauren,F,H0NY12175,H0NY12175
cand157064,36013804743,"belvin, kenneth lewis iii",belvin,kenneth lewis,M,H0NY16127,H0NY16127
cand157065,35893496945,"sager, franklin walton",sager,franklin walton,M,H0NY22075,H0NY22075
cand157066,35871202861,"whitmer, duane james",whitmer,duane james,M,H0NY27082,H0NY27082
cand157079,35867152041,"brier, thomas f jr",brier,thomas f,M,H0PA10102,H0PA10102
cand157080,3597203412,"wheeland, jeff c",wheeland,jeff c,M,H0PA12173,H0PA12173
cand157083,NA,"covert, michael",covert,michael,M,H0SC01360,H0SC01360
cand157086,NA,"rowe, christopher lee",rowe,christopher lee,M,H0TN01043,H0TN01043
cand157087,500004e10,"cardnell, elisa",cardnell,elisa,F,H0TX02080,H0TX02080
cand157088,35729634690,"do, tanner t",do,tanner t,M,H0TX03096,H0TX03096
cand157089,NA,"khan, imran",khan,imran,M,H0TX06081,H0TX06081
cand157099,36020882463,"walz, thaddeus joseph",walz,thaddeus joseph,M,H0TX22153,H0TX22153
cand1571,3851345326,"corzine, jon s",corzine,jon s,M,40104,S8NJ00327
cand157100,4067302452,"moore, nyanza davis",moore,nyanza davis,M,H0TX22161,H0TX22161
cand157101,NA,"wahl, liz domingo",wahl,liz domingo,F,H0TX23144,H0TX23144
cand157106,500004e10,"iannuzzi, carol higbee",iannuzzi,carol higbee,F,H0TX26121,H0TX26121
cand157107,31998306769,"pruneda, mateo iii",pruneda,mateo,M,H0TX26139,H0TX26139
cand157111,33923170448,"williams, michael howard",williams,michael howard,M,H0TX31048,H0TX31048
cand157112,111771267,"kadir, omar",kadir,omar,M,H0TX31055,H0TX31055
cand157169,NA,"letlow, julia",letlow,julia,F,22157,H2LA05126
cand157180,500004e10,"flores, mayra nohemi",flores,mayra nohemi,F,22165,H2TX34113
cand157186,3742280091,"sempolinski, joseph",sempolinski,joseph,M,22170,H2NY23137
cand157187,NA,"yakym, rudy",yakym,rudy,M,22171,H2IN02295
cand157188,4148354791,"bishop, charles",bishop,charles,M,AL12996642,AL10210
cand157191,37684569001,"alford, mark",alford,mark,M,22300,H2MO04207
cand1572,500001e10,"clinton, hillary rodham",clinton,hillary rodham,F,40105,S0NY00188
cand157201,NA,"bean, aaron p",bean,aaron p,M,22302,H2FL04211
cand157217,NA,"budzinski, nikki",budzinski,nikki,F,22304,H2IL13153
cand157220,37692690184,"casar, greg",casar,greg,M,22307,H2TX35144
cand157221,5e15,"chavez deremer, lori",chavez deremer,lori,F,22308,H2OR05209
cand157224,37689902079,"crane, eli",crane,eli,M,22311,H2AZ01354
cand157226,NA,"desposito, anthony p",desposito,anthony p,M,22313,H2NY04277
cand157227,11006003,"davis, don",davis,don,M,22314,H2NC02287
cand157229,NA,"deluzio, christopher",deluzio,christopher,M,22316,H2PA17103
cand157230,29175916591,"duarte, john",duarte,john,M,22317,H2CA13131
cand157231,27735657639,"edwards, chuck",edwards,chuck,M,22318,H2NC14050
cand157232,37711572490,"ezell, walter michael",ezell,walter michael,M,22319,H2MS04258
cand157234,NA,"frost, maxwell alejandro",frost,maxwell alejandro,M,22321,H2FL10259
cand157239,36245716724,"garcia, robert",garcia,robert,M,22323,H2CA47188
cand157240,NA,"goldman, daniel",goldman,daniel,M,22324,H2NY10308
cand157246,37718802017,"jackson, jonathan",jackson,jonathan,M,22330,H2IL01349
cand157249,NA,"kamlager, sydney",kamlager,sydney,F,22333,H2CA37304
cand157251,500004e10,"kiggans, jennifer",kiggans,jennifer,F,22335,H2VA02064
cand157254,NA,"nick, lalota",nick,lalota,U,22337,H2NY01190
cand157255,2424732621,"landsman, greg",landsman,greg,M,22338,H2OH01194
cand157256,NA,"langworthy, nick",langworthy,nick,M,22339,H2NY23228
cand157262,NA,"luttrell, morgan joe",luttrell,morgan joe,M,22344,H2TX08182
cand157267,NA,"menendez, robert j",menendez,robert j,M,22348,H2NJ08232
cand157268,37653543962,"miller, max",miller,max,M,22349,H2OH16051
cand157270,37682702030,"mills, cory",mills,cory,M,22350,H2FL07156
cand157271,3818427455,"molinaro, marcus j",molinaro,marcus j,M,22351,H2NY19127
cand157273,37684327703,"moran, nathaniel quentin",moran,nathaniel quentin,M,22352,H2TX01112
cand157274,37692427251,"moskowitz, jared",moskowitz,jared,M,22353,H2FL22171
cand157277,3186122633,"nunn, zach",nunn,zach,M,22356,H2IA03119
cand157278,37699710226,"ogles, andy",ogles,andy,M,22357,H2TN05446
